,open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore
2021-05-01 04:14:59.999,1619834400000,4.57240000,4.78000000,4.56610000,4.73010000,142538.70000000,1619835299999,666487.68856000,1324,92549.50000000,433707.79653000,0
2021-05-01 04:29:59.999,1619835300000,4.73000000,4.79990000,4.67650000,4.69610000,143598.70000000,1619836199999,682947.47393000,1534,48960.70000000,233314.01405000,0
2021-05-01 04:44:59.999,1619836200000,4.72890000,4.99880000,4.69680000,4.98500000,354435.60000000,1619837099999,1724433.15107000,2837,229420.30000000,1116581.56407000,0
2021-05-01 04:59:59.999,1619837100000,4.98500000,5.11970000,4.90250000,4.91820000,1094360.00000000,1619837999999,5497390.71561000,6127,671434.70000000,3369985.70149000,0
2021-05-01 05:14:59.999,1619838000000,4.91890000,5.05000000,4.86040000,4.86520000,251514.60000000,1619838899999,1252034.68649000,2566,101446.70000000,505274.30918000,0
2021-05-01 05:29:59.999,1619838900000,4.86530000,4.88190000,4.75780000,4.86020000,270152.20000000,1619839799999,1307379.34886000,2929,121471.80000000,589181.17369000,0
2021-05-01 05:44:59.999,1619839800000,4.86020000,5.10000000,4.81970000,4.87770000,196648.50000000,1619840699999,971238.90278000,2534,109257.20000000,541998.60940000,0
2021-05-01 05:59:59.999,1619840700000,4.87760000,4.89080000,4.76100000,4.76100000,263589.90000000,1619841599999,1262674.75618000,2236,78677.20000000,377928.30923000,0
2021-05-01 06:14:59.999,1619841600000,4.76490000,4.84000000,4.76100000,4.81010000,111042.80000000,1619842499999,533530.76703000,1125,66581.50000000,319846.79315000,0
2021-05-01 06:29:59.999,1619842500000,4.81650000,4.84000000,4.70000000,4.71900000,159994.50000000,1619843399999,766320.76947000,1585,46211.70000000,221909.03311000,0
2021-05-01 06:44:59.999,1619843400000,4.71900000,4.71910000,4.59160000,4.61960000,208314.10000000,1619844299999,969052.22437000,2446,115252.80000000,536847.40599000,0
